1001000070001;Balabus;LA DEFENSE;GARE DE LYON;1;1;1;1;1
1001000080001;Montmartrobus;PIGALLE                                                                         ;MAIRIE DU XVIII-JULES JOFFRIN                                                   ;0;1;1;1;0
1001000200001;20;GARE DE LYON.                                                                   ;GARE SAINT-LAZARE                                                               ;1;1;1;1;1
1001000210001;21;STADE CHARLETY-PORTE DE GENTILLY                                                ;GARE SAINT LAZARE                                                               ;1;1;1;1;1
1001000220001;22;PORTE DE SAINT CLOUD                                                            ;OPERA                                                                           ;1;1;1;1;0
1001000240001;24;ECOLE VETERINAIRE DE MAISONS-ALFORT                                             ;GARE SAINT LAZARE                                                               ;1;1;1;1;1
1001000260001;26;NATION-PLACE DES ANTILLES                                                       ;GARE SAINT LAZARE                                                               ;1;1;1;1;1
1001000270001;27;PORTE D'IVRY-CLAUDE REGAUD                                                      ;GARE SAINT LAZARE                                                               ;1;1;1;1;1
1001000280001;28;PORTE D'ORLEANS                                                                 ;GARE SAINT LAZARE                                                               ;1;1;1;1;0
1001000290001;29;PORTE DE MONTEMPOIVRE                                                           ;GARE SAINT LAZARE                                                               ;1;1;1;1;0
1001000300001;30;TROCADERO                                                                       ;GARE DE L'EST                                                                   ;1;1;1;1;1
1001000310001;31;CHARLES DE GAULLE-ETOILE.                                                       ;GARE DE L'EST                                                                   ;1;1;1;1;1
1001000320001;32;PORTE D'AUTEUIL                                                                 ;GARE DE L'EST                                                                   ;1;1;1;1;0
1001000380001;38;PORTE D'ORLEANS                                                                 ;GARE DU NORD                                                                    ;1;1;1;1;1
1001000390001;39;ISSY-VAL DE SEINE                                                               ;GARE DU NORD                                                                    ;1;1;1;1;1
1001000420001;42;HOPITAL EUROPEEN GEORGES POMPIDOU                                               ;GARE DU NORD                                                                    ;1;1;1;1;1
1001000430001;43;NEUILLY-BAGATELLE                                                               ;GARE DU NORD                                                                    ;1;1;1;1;0
1001000460001;46;CHATEAU DE VINCENNES-METRO                                                      ;GARE DU NORD                                                                    ;1;1;1;1;0
1001000470001;47;FORT DU KREMLIN-BICETRE                                                         ;GARE DE L'EST                                                                   ;1;1;1;1;1
1001000480001;48;PALAIS ROYAL-MUSEE DU LOUVRE                                                    ;PORTE DES LILAS                                                                 ;1;1;1;1;0
1001000520001;52;PARC DE SAINT CLOUD                                                             ;OPERA                                                                           ;1;1;1;1;0
1001000530001;53;PONT DE LEVALLOIS-METRO                                                         ;OPERA                                                                           ;1;1;1;1;1
1001000540001;54;GABRIEL PERI-METRO                                                              ;PORTE D'AUBERVILLIERS                                                           ;1;1;1;1;1
1001000560001;56;CHATEAU DE VINCENNES-METRO                                                      ;PORTE DE CLIGNANCOURT                                                           ;1;1;1;1;0
1001000570001;57;LAPLACE-RER                                                                     ;PORTE DE BAGNOLET-L.GANNE                                                       ;1;1;1;1;1
1001000580001;58;LYCEE MICHELET                                                                  ;CHATELET                                                                        ;1;1;1;1;0
1001000600001;60;PORTE DE MONTMARTRE                                                             ;GAMBETTA                                                                        ;1;1;1;1;1
1001000610001;61;EGLISE DE PANTIN                                                                ;GARE D'AUSTERLITZ                                                               ;1;1;1;1;1
1001000620001;62;PORTE DE SAINT CLOUD                                                            ;BIBLIOTHEQUE FRANCOIS MITTERRAND                                                ;1;1;1;1;1
1001000630001;63;PORTE DE LA MUETTE                                                              ;GARE DE LYON                                                                    ;1;1;1;1;1
1001000640001;64;PLACE D'ITALIE                                                                  ;GAMBETTA                                                                        ;1;1;1;1;1
1001000650001;65;MAIRIE D'AUBERVILLIERS                                                          ;GARE DE LYON                                                                    ;1;1;1;1;1
1001000660001;66;BOULEVARD VICTOR HUGO                                                           ;OPERA                                                                           ;1;1;1;1;1
1001000670001;67;STADE CHARLETY-PORTE DE GENTILLY                                                ;PIGALLE                                                                         ;1;1;1;1;1
1001000680001;68;MONTROUGE METRO                                                                 ;PLACE DE CLICHY                                                                 ;1;1;1;1;1
1001000690001;69;CHAMP DE MARS                                                                   ;GAMBETTA                                                                        ;1;1;1;1;0
1001000700001;70;RADIO FRANCE                                                                    ;HOTEL DE VILLE-RUE SAINT MARTIN                                                 ;1;1;1;1;1
1001000720001;72;PARC DE SAINT CLOUD                                                             ;HOTEL DE VILLE                                                                  ;1;1;1;1;1
1001000730001;73;PLACE DE BELGIQUE                                                               ;MUSEE D'ORSAY                                                                   ;1;1;1;1;0
1001000740001;74;BERGES DE SEINE                                                                 ;HOTEL DE VILLE DE PARIS-04                                                      ;1;1;1;1;0
1001000750001;75;PORTE DE LA VILLETTE                                                            ;PONT NEUF                                                                       ;1;1;1;1;1
1001000760001;76;LOUISE MICHEL                                                                   ;LOUVRE-RIVOLI                                                                   ;1;1;1;1;1
1001000800001;80;MAIRIE DU XVIII-JULES JOFFRIN                                                   ;PORTE DE VERSAILLES (PARC DES EXPOSITIONS)                                      ;1;1;1;1;1
1001000810001;81;PORTE DE SAINT OUEN                                                             ;CHATELET                                                                        ;1;1;1;1;1
1001000820001;82;HOPITAL AMERICAIN                                                               ;LUXEMBOURG                                                                      ;1;1;1;1;1
1001000830001;83;PORTE D'IVRY-CLAUDE REGAUD                                                      ;FRIEDLAND-HAUSSMANN                                                             ;1;1;1;1;1
1001000840001;84;PORTE DE CHAMPERRET                                                             ;PLACE DU PANTHEON                                                               ;1;1;1;1;1
1001000850001;85;MAIRIE DE SAINT OUEN                                                            ;LUXEMBOURG                                                                      ;1;1;1;1;0
1001000860001;86;DEMI LUNE-PARC ZOOLOGIQUE                                                       ;SAINT GERMAIN DES PRES                                                          ;1;1;1;1;1
1001000870001;87;PORTE DE REUILLY                                                                ;CHAMP DE MARS                                                                   ;1;1;1;1;1
1001000880001;88;HOPITAL EUROPEEN GEORGES POMPIDOU                                               ;MONTSOURIS-TOMBE ISSOIRE                                                        ;1;1;1;1;1
1001000890001;89;GARE DE VANVES-MALAKOFF                                                         ;BIBLIOTHEQUE FRANCOIS MITTERRAND                                                ;1;1;1;1;0
1001000910001;91;BASTILLE                                                                        ;MONTPARNASSE II-GARE TGV                                                        ;1;1;1;1;1
